평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,자료구입비(천원)
2024,LIBTYPE000002,2060822001,달서어린이도서관,대구,달서구,83866,2,5631,129526,42368
2024,LIBTYPE000002,2060811016,대방어린이도서관,서울,동작구,31807,2,8351,106885,47548
2024,LIBTYPE000002,2060811017,도봉기적의도서관,서울,도봉구,43257,4,5510,73732,48620
2024,LIBTYPE000002,2060831002,명촌어린이도서관,울산,북구,28647,1,10521,39113,22285
2024,LIBTYPE000002,2060846002,목포어린이도서관,전남,목포시,71852,4,13656,22723,35630
2024,LIBTYPE000002,2030841001,반달어린이도서관,경기,수원시,34596,1,3434,9875,10471
2024,LIBTYPE000002,2060823010,부개어린이도서관,인천,부평구,24746,4,2371,24160,19410
2024,LIBTYPE000002,2060823001,부평기적의도서관,인천,부평구,53077,7,4769,65950,30104
2024,LIBTYPE000002,2050825001,산성어린이도서관,대전,중구,80590,9,6033,269207,112940
2024,LIBTYPE000002,2020125001,서구어린이도서관,대전,서구,68857,2,2703,99514,66470
2024,LIBTYPE000002,2060822002,서구어린이도서관,대구,서구,65541,0,3501,92026,43616
2024,LIBTYPE000002,2060844003,서산어린이도서관,충남,서산시,75429,3,4061,152087,70651
2024,LIBTYPE000002,2060811006,송파어린이도서관,서울,송파구,83197,6,13692,253395,75781
2024,LIBTYPE000002,2060846001,순천기적의도서관,전남,순천시,93369,4,3611,71009,39100
2024,LIBTYPE000002,2060841004,안양어린이도서관,경기,안양시,105556,4,15560,428344,105500
2024,LIBTYPE000002,2060831003,옥현어린이도서관,울산,남구,33014,0.5,2618,77829,35089
2024,LIBTYPE000002,2060824002,운남어린이도서관,광주,광산구,61539,2,6354,167182,55850
2024,LIBTYPE000002,2060811025,월계어린이도서관,서울,노원구,18414,1,5003,47708,11900
2024,LIBTYPE000002,2060811029,장안어린이도서관,서울,동대문구,39156,5,4645,66103,40200
2024,LIBTYPE000002,2060821001,재송어린이도서관,부산,해운대구,115186,3,6985,177592,71336
2024,LIBTYPE000002,2060821004,정관어린이도서관,부산,기장군,45272,3,3316,26427,23000
2024,LIBTYPE000002,2060841017,정왕어린이도서관,경기,시흥시,69722,2,1116,50205,27280
2024,LIBTYPE000002,2060845001,정읍기적의도서관,전북,정읍시,75738,2,10972,42144,70000
2024,LIBTYPE000002,2060843002,제천기적의도서관,충북,제천시,120333,5,1390,127048,55067
2024,LIBTYPE000002,2060848002,진해기적의도서관,경남,창원시,74014,3,5627,92222,20250
2024,LIBTYPE000002,2060847001,청도어린이도서관,경북,청도군,64309,2,800,13271,20000
2024,LIBTYPE000002,2060843001,청주기적의도서관,충북,청주시,47077,4,4754,10616,35480
2024,LIBTYPE000002,2060811030,하계어린이도서관,서울,노원구,10080,2,3565,47706,12040
2024,LIBTYPE000002,2060843005,호암어린이도서관,충북,충주시,19380,0,2131,53516,79992
2024,LIBTYPE000002,2060842001,화천어린이도서관,강원,화천군,30160,2,811,30934,21375
2024,LIBTYPE000002,2030841002,화홍어린이도서관,경기,수원시,12191,0,852,2378,1200
2024,LIBTYPE000002,2060811015,휘경어린이도서관,서울,동대문구,33441,4,3148,72509,38824
2024,LIBTYPE000002,2030848001,마하 어린이도서관,경남,진주시,17178,0,2339,7519,3000
2024,LIBTYPE000002,2060811005,꿈꾸는어린이도서관,서울,강서구,66439,5,10653,74902,52798
2024,LIBTYPE000002,2060111045,도봉아이나라도서관,서울,도봉구,105047,7,28501,133587,46149
2024,LIBTYPE000002,2060111043,동작영어마루도서관,서울,동작구,41389,3,6345,70722,64090
2024,LIBTYPE000002,2060841003,바른샘어린이도서관,경기,수원시,117456,3,10940,105325,20700
2024,LIBTYPE000002,2060848007,사천시어린이도서관,경남,사천시,38317,1.5,1323,47003,36000
2024,LIBTYPE000002,2060811022,삼각산어린이도서관,서울,강북구,31506,1,3026,82843,21000
2024,LIBTYPE000002,2060849002,서귀포기적의도서관,제주,서귀포시,36913,4,3157,38895,39994
2024,LIBTYPE000002,2060811026,손기정어린이도서관,서울,중구,29777,3,4034,107452,51318
2024,LIBTYPE000002,2060821007,수영구어린이도서관,부산,수영구,33306,3,4194,132727,52604
2024,LIBTYPE000002,2060841001,슬기샘어린이도서관,경기,수원시,117190,3,10382,78505,14592
2024,LIBTYPE000002,2060811023,아리랑어린이도서관,서울,성북구,36846,4,3825,54759,22675
2024,LIBTYPE000002,2060841023,의왕시글로벌도서관,경기,의왕시,88810,2,6445,171841,71156
2024,LIBTYPE000002,2060849001,제주시기적의도서관,제주,제주시,44660,3,33036,176472,40000
2024,LIBTYPE000002,2060811014,중랑숲어린이도서관,서울,중랑구,55843,6,4758,98774,56112
2024,LIBTYPE000002,2060841002,지혜샘어린이도서관,경기,수원시,127792,1,35407,126043,14592
2024,LIBTYPE000002,2060841008,군포시 어린이도서관,경기,군포시,112549,2.5,5304,138125,41080
2024,LIBTYPE000002,2060823017,별똥별 어린이도서관,인천,계양구,13408,1,1217,39108,19567
2024,LIBTYPE000002,2060848008,양산시립 상북도서관,경남,양산시,19778,1,762,20970,5193
2024,LIBTYPE000002,2060821002,영도도서관 남항분관,부산,영도구,50119,2,8740,39357,30000
2024,LIBTYPE000002,2060841016,이천시 어린이도서관,경기,이천시,102481,2,4169,210490,62009
2024,LIBTYPE000002,2060811032,광진어린이영어도서관,서울,광진구,16438,5,2053,27174,1209
2024,LIBTYPE000002,2060848011,김해어린이영어도서관,경남,김해시,13919,3,4335,34608,79200
2024,LIBTYPE000002,2060811012,남산타운어린이도서관,서울,중구,36680,2,15742,56744,33000
2024,LIBTYPE000002,2060821006,동구어린이영어도서관,부산,동구,45755,3,1847,57023,70000
2024,LIBTYPE000002,2060811021,못골한옥어린이도서관,서울,강남구,34828,6,12586,103590,40812
2024,LIBTYPE000002,2060823011,송도국제어린이도서관,인천,연수구,72281,2,38794,252714,100000
2024,LIBTYPE000002,2060811019,송파어린이영어도서관,서울,송파구,33725,2,5979,162579,41572
2024,LIBTYPE000002,2060847002,안동시립어린이도서관,경북,안동시,57348,4,2401,89926,60410
